GDPQ;LHEM;LPMHU;P16;FM2;FYGM3;PUNEW;CANN;GBRN;DEUN;FRAN;ITAN;JPNN;ESPN;CANRGDP;GBRRGDP;FDRRGDPS;FRARGDP;ITARGDP;JPNGNP85;ESPGDPVS
1239.5;;91.70333354;101203.3333;;0.379999995;21.70000013;;;;;;;;;;;;;;
1247.199951;;91.39000193;101662;;0.379999995;22.03333346;;;;;;;;;;;;;;
1255;;91.63666534;102060;;0.736666679;22.46666654;;;;;;;;;;;;;;
1269.5;;92.8799998;102386.3333;;0.906666676;23.13333321;;;;;;;;;;;;;;
1284;57976;93.27666728;102690.6667;;0.99000001;23.63333384;;;;;;;;;;;;;;
1295.699951;58296;93.12333171;102915.3333;;1;23.96666654;;;;;;;;;;;;;;
1303.800049;58645.66667;94.07333374;103249;;1.049999992;24.39999962;;;;;;;;;;;;;;
1316.400024;58514.66667;93.57666779;103417.6667;;1.139999986;24.16666667;;;;;;;;;;;;;;
1305.300049;58142;91.85000102;103584.3333;;1.169999957;23.93333308;;;;;;;;;;;;;;
1302;57490.33333;90.38999939;103838;;1.169999957;23.89999962;;;;;;;;;;;;;;
1312.599976;57390.33333;89.46666718;104127.3333;;1.043333332;23.70000076;;;;;;;;;;;;;;
1301.900024;57707.66667;88.41666667;104427.6667;;1.076666673;23.6666673;;;;;;;;;;;;;;
1350.900024;57704.66667;89.41666921;104733.3333;;1.103333354;23.56666692;;;;;;;;;;;;;;
1393.5;58761.33333;92.20333354;105020.3333;;1.153333306;23.76666641;;;;;;;;;;;;;;
1445.199951;59457.66667;95.70000203;105248.3333;;1.219999989;24.20000013;;;;;;;;;;;;;;
1484.5;59643;97.14666748;104982.3333;;1.336666663;24.70000013;;;;;;;;;;;;;;
1504.099976;59899.33333;99.08000183;104692.3333;;1.366666675;25.69999949;;;;;;;;;;;;;;
1548.300049;59899;99.76666514;104506.6667;;1.49000001;25.93333308;;;;;;;;;;;;;;
1585.400024;59954.33333;99.44999949;104542.6667;;1.603333314;25.93333308;;;;;;;;;;;;;;
1596;60114.33333;99.54333242;104746.6667;;1.609999975;26.33333333;;;;;;;;;;;;;;
1607.699951;60276.66667;100.6133321;104863.3333;;1.566666683;26.43333308;;;;;;;;;;;;;;
1612.099976;60107.66667;100.0533346;105006.6667;;1.646666686;26.5;;;;;;;;;;;;;;
1621.900024;60094;100.7900009;105342.6667;;1.783333341;26.6666673;;;;;;;;;;;;;;
1657.800049;60611.33333;103.2799988;105703;;1.893333316;26.70000076;;;;;;;;;;;;;;
1687.300049;61831.33333;104.2699992;106672;;1.980000019;26.60000038;;;;;;;;;;;;;;
1695.300049;61306.33333;104.2833328;106904.6667;;2.153333346;26.73333359;;;;;;;;;;;;;;
1687.900024;61151.33333;103.3600006;107139.6667;;1.956666629;26.86666616;;;;;;;;;;;;;;
1671.199951;60536;102.399999;107503.3333;;1.473333359;26.89999962;;;;;;;;;;;;;;
1660.800049;60291;100.5833333;107876.6667;;1.059999983;26.93333308;;;;;;;;;;;;;;
1658.400024;59961.66667;99.90000153;108177;;0.786666652;26.89999962;;;;;;;;;;;;;;
1677.699951;59926;99.37333425;108443.3333;;0.883333345;26.86666616;;;;;;;;;;;;;;
1698.300049;60247.66667;100.6133347;108786;;1.016666671;26.76666641;;;;;;;;;;;;;;
1742.5;60814.66667;102.053332;109130.3333;;1.226666649;26.79999924;;;;;;;;;;;;;;
1758.599976;61643.33333;104.1066666;109533.6667;;1.483333349;26.76666641;;;;;;;;;;;;;;
1778.199951;62753.33333;105.1399994;109883.6667;;1.856666644;26.79999987;;;;;;;;;;;;;;
1793.900024;63310.66667;106.3100001;110186;;2.339999994;26.86666616;;;;;;;;;;;;;;
1787;63560.66667;107.0366643;110483.3333;;2.326666673;26.86666616;;;;;;;;;;;;;;
1798.5;63765;107.25;110787.6667;;2.566666603;27.03333346;;;;;;;;;;;;;;
1802.199951;63950.33333;106.8566666;111113.3333;;2.583333254;27.29999924;;;;;;;;;;;;;;
1826.599976;63893.66667;108.3233337;111431;;3.033333381;27.53333346;;;;;;;;;;;;;;
1836.400024;64097.66667;108.2366638;111720.3333;;3.099999905;27.79999987;;;;;;;;;;;;;;
1834.800049;64076;107.6433334;112045.3333;;3.136666616;28;;;;;;;;;;;;;;
1851.199951;64206.66667;107.4166641;112430.6667;;3.353333314;28.26666641;;;;;;;;;;;;;;
1830.5;63879;105.7933324;112865.6667;;3.303333282;28.39999962;;;;;;;;;;;;;;
1790.099976;62949.66667;103.6666667;113236.3333;;1.75999999;28.73333359;;;;;;;;;;;;;;
1804.400024;62745;102.043335;113532;;0.956666668;28.89999962;;;;;;;;;;;;;;
