time,Vol,GDP,Def,GDPr,Vol_15,GDP_15,Def_15,GDPr_15,Vol_us,GDP_us_e,GDP_us,tc_e_d
1995-01-01,65.8,112945.8,70.583,160018.41803267077,76.1,1738252.9,80.958,2147104.548037254,67.6,1476927.7,1880572,1.2732999726391483
1995-04-01,66.2,116318.1,72.242,161011.73832396665,76.5,1749067.3,81.039,2158303.1626747614,67.8,1423928.6,1895249,1.3310000234562323
1995-07-01,66.5,119379.7,73.846,161660.3472090567,76.7,1777936.3,82.102,2165521.302769725,68.4,1463563.7,1920781,1.3124000000819918
1995-10-01,67,121681.3,74.701,162891.12595547584,77,1796069.7,82.673,2172498.5182586815,68.8,1474986.3,1943147,1.3174000328003046
1996-01-01,67.4,124839.6,76.19,163852.99908124428,77.2,1815044.7,83.338,2177931.6758261537,69.4,1528095.2,1967117,1.2873000320922414
1996-04-01,67.9,126127.8,76.412,165062.81735853007,77.7,1846381.6,84.178,2193425.360545511,70.5,1600805.1,2008210,1.2545000012806056
1996-07-01,68.5,127500.5,76.587,166477.9923485709,78.2,1867448.3,84.668,2205612.8643643404,71.1,1595394.8,2032852,1.27419996605229
1996-10-01,68.8,127906.1,76.423,167365.97621135,78.5,1890214.9,85.291,2216195.0264388975,71.9,1636376.1,2064943,1.261899999639447
1997-01-01,69.5,127382.2,75.345,169065.23326033578,78.9,1912328.6,85.909,2225993.3185114483,72.3,1773251.9,2090664,1.1790000055829633
1997-04-01,70.2,128412.8,75.272,170598.36326921033,79.9,1940779.6,86.137,2253131.1747564925,73.5,1862445.1,2129706,1.1435000151145394
1997-07-01,71,130409.5,75.544,172627.21063221432,80.4,1979755.5,87.23,2269580.992777714,74.5,1980889.1,2165706,1.0932999732291928
1997-10-01,72,134642.1,76.935,175007.60382140768,81.3,1997702,87.043,2295074.8480636002,75.1,1950754,2191477,1.1233999776496677
